Day	Cyclopoids	Calanoid_copepods	Rotifers	Protozoa	Nanophytoplankton	Picophytoplankton	Filamentous_diatoms	Ostracods	Harpacticoids 	Bacteria	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
634.15	0.29963	0.051703	0.0026775	0.0097825	0.23958	0.0020394	5.1162	0	0.42674	0.3468
637.5	2.4207	0.0016982	0.00023026	0.00087278	0.18722	0.0030714	4.2953	0	0.44115	0.58916
640.85	1.7319	0.00066851	0	0	0.21999	0.0064206	2.6036	0	0.26056	0.71351
644.2	0.51548	0.00046456	0	0	0.22869	0.0066188	2.3934	0	0.42298	0.82582
647.55	0.13962	0.00014294	0.0012428	0	0.20604	0.0028185	1.9021	0	0.97741	0.76373
650.9	0.038549	6.9501e-05	0.0035697	0	0.45707	0.0048284	0.22969	0	1.171	0.59323
654.25	0.1817	0.00060282	0.0024162	0	0.99916	0.012648	0.068889	0	1.4352	0.74813
657.6	0.34726	0.00078361	0.003467	0	0.9987	0.0042157	0.082499	0	1.5497	0.49904
660.95	0.11674	0.00018985	0.0088332	0	0.78599	0.010377	0.10246	0	2.6647	0.62344
664.3	0.30838	0	0.0065071	0	0.38512	0.015457	0.20094	0	2.7227	0.66812
667.65	0.28559	0	0.0013886	0.27262	0.52214	0.006511	2.7517	0	0.389	0.75944
671	0.1	0	0	3.8595	0.24885	0.0019531	5.1637	0	0.192	0.538
674.35	0.15741	0	0	2.3211	9.0069	0.0019128	3.5868	0.00037115	0.18865	0.42774
677.7	0.10464	0	0	2.7075	19.95	0.0010856	1.6466	0.019863	0.57359	0.50293
681.05	0.2728	0	0	7.3966	7.9397	0.00098285	1.01	0.027235	0.35092	1.1604
684.4	0.74625	0	0	0.83229	7.9604	0.00097525	0.10265	0.0080691	0.34874	1.2075
687.75	0.27881	0	0	1.4859	15.658	0.00076865	10.883	5.8114e-05	0.17015	1.3465
691.1	0.017407	0	0	0.19461	9.8151	0.00094133	8.6442	0	0.012455	1.5077
694.45	0	0	0	0	4.6187	0.00057763	0.77121	0	0	1.522
697.8	0	0	0	0	0.57063	6.9423e-05	0.14894	0	0	1.4138
701.15	0	0	0	0	0	0	0.54316	0	0	1.7316
704.5	0	0	0	0	0	0	0.80214	0	0	1.4447
707.85	0	0	0	0	0	0	1.2887	0	0	2.3032
711.2	0	0.069762	0.12653	0	0	0	0.91943	0	0	4.1223
714.55	0.3864	0.16952	0.30122	0.16675	0	0	0.69453	0.13704	0	2.2414
717.9	0.15675	0.32969	1.0606	0.34073	0	0	0.35993	0.055591	0	2.5267
721.25	0.10354	0.6039	2.3819	0.27452	0.015945	0	0.27388	0.22019	0.20268	3.0895
724.6	0.31171	0.66883	7.0224	0.064096	0.098783	0.0043443	0.40233	0.84799	0.67375	2.8553
727.95	0.31088	1.0486	12.152	0.045914	0.29714	0.02266	0.33199	1.5513	1.2029	2.7171
731.3	0.18352	2.2305	10.311	0.015614	0.49296	0.063493	0.026447	2.5714	2.3326	3.7715
734.65	0.12916	0.65291	7.1331	0	0.24689	0.11937	0.024286	1.296	1.7247	1.9332
738	0.33644	0.57526	4.8267	0	0.22597	0.04259	0.1837	0.12957	1.3331	3.9278
741.35	0.11473	0.3217	5.6302	9.7258e-05	0.074143	0	1.1645	0.89617	3.6042	3.5908
744.7	0.094456	0.50423	4.3101	0.0043429	0.027214	0	1.4073	1.2054	1.979	5.9491
748.05	0.64707	0.35334	1.5421	0.0071279	0.015835	0	1.7748	0.87329	3.1899	7.5936
751.4	0.0017674	0.39645	2.3861	0.0031329	0.0070259	0	0.30751	1.2001	2.7819	2.3152
754.75	0.062411	0.2633	1.151	2.5014e-05	5.6096e-05	0	1.3202	0.46116	1.2521	3.1376
