x,y,z
0.301252628,0.589200453,0.589200416
0.502200757,0.827925218,0.827925245
0.301252628,0.589200465,0.589200404
0.502200757,0.827925209,0.827925253
0.301252628,0.589200484,0.589200385
0.502200757,0.827925196,0.827925267
0.301252628,0.589200515,0.589200354
0.502200757,0.827925174,0.827925289
0.301252628,0.589200565,0.589200304
0.502200757,0.827925138,0.827925325
0.301252628,0.589200646,0.589200223
0.502200757,0.82792508,0.827925383
0.301252628,0.589200778,0.589200091
0.502200757,0.827924985,0.827925477
0.301252628,0.589200993,0.589199876
0.502200757,0.827924831,0.827925631
0.301252628,0.589201342,0.589199527
0.502200757,0.827924581,0.827925881
0.301252628,0.589201909,0.58919896
0.502200757,0.827924176,0.827926287
0.301252628,0.589202829,0.58919804
0.502200757,0.827923517,0.827926946
0.301252628,0.589204324,0.589196545
0.502200757,0.827922446,0.827928016
0.301252628,0.589206753,0.589194116
0.502200757,0.827920707,0.827929755
0.301252628,0.589210699,0.589190171
0.502200757,0.827917882,0.827932579
0.301252628,0.589217108,0.589183762
0.502200757,0.827913293,0.827937167
0.301252628,0.589227519,0.589173352
0.502200757,0.827905838,0.827944619
0.30125263,0.589244432,0.589156442
0.502200757,0.827893725,0.827956722
0.301252633,0.589271906,0.589128975
0.502200758,0.827874045,0.827976377
0.301252642,0.58931654,0.589084361
0.502200758,0.827842063,0.828008292
0.301252665,0.589389054,0.589011901
0.50220076,0.827790077,0.828060102
0.301252726,0.589506873,0.588894222
0.502200765,0.827705542,0.828144173
0.301252888,0.589698331,0.588703136
0.502200779,0.827567987,0.828280503
0.301253314,0.590009526,0.588392923
0.502200815,0.827343918,0.82850134
0.30125444,0.590515531,0.587889506
0.502200909,0.826978291,0.82885844
0.30125741,0.591338804,0.587073064
0.502201157,0.826380001,0.829434228
0.301265246,0.592679604,0.585750285
0.502201812,0.825396561,0.830358292
0.301285924,0.594866772,0.58361066
0.502203541,0.823768249,0.83182992
0.301340491,0.598443809,0.580159
0.502208098,0.821040776,0.834143903
0.301484499,0.604318159,0.574614957
0.502220102,0.816387782,0.837705475
0.301864659,0.614028009,0.565773028
0.502251621,0.808221118,0.842989888
0.302868898,0.630234346,0.551831324
0.502333716,0.793259849,0.850330847
0.305526059,0.657627274,0.530234973
0.502543123,0.764125754,0.859275366
0.312579787,0.704265735,0.49762654
0.503050383,0.703019781,0.866931094
0.331336143,0.779838108,0.45010053
0.504172362,0.570642096,0.863652712
0.379282432,0.858109855,0.387714174
0.507324367,0.369613212,0.823564587
0.46397059,0.769129795,0.367869455
0.515502141,0.488358914,0.764979808
0.433943729,0.822694241,0.526898692
0.462625528,0.483489389,0.870728663
0.443894331,0.86757032,0.348580833
0.49998108,0.295061482,0.769827905
